           85.934400 -2.902051 -6.840755  0.052912
           86.034223 -2.870541 -6.866686  0.064592
           86.134504 -2.850195 -6.896177  0.009865
           86.234233 -2.839523 -6.923700  0.017226
           86.334044 -2.818015 -6.974322  0.027702
           86.434097 -2.778996 -7.011664  0.036869
           86.529475 -2.747245 -7.050211  0.062894
           86.634343 -2.711277 -7.101521  0.059837
           86.729293 -2.672695 -7.149817  0.054700
           86.834256 -2.629383 -7.183201  0.059489
           86.934296 -2.604089 -7.202043  0.051574
           87.034145 -2.580168 -7.227036  0.037521
           87.129149 -2.572092 -7.255902  0.052735
           87.234240 -2.576367 -7.284945  0.056053
           87.329091 -2.561574 -7.328549  0.044307
           87.429134 -2.557438 -7.368059  0.035703
           87.529178 -2.565805 -7.394937  0.049741
           87.629806 -2.545315 -7.443257  0.029643
           87.729303 -2.549455 -7.469383  0.018362
           87.829210 -2.532796 -7.514124  0.024477
           87.934201 -2.516069 -7.571788  0.025456
           88.034223 -2.524159 -7.600203  0.029924
           88.129322 -2.499955 -7.648885  0.042294
           88.229321 -2.478979 -7.688118  0.060291
           88.329053 -2.455937 -7.728929  0.055921
           88.429357 -2.449986 -7.770920  0.068641
           88.529276 -2.456560 -7.812284  0.089016
           88.629261 -2.475553 -7.868717  0.036600
           88.729188 -2.500387 -7.920366  0.049127
           88.829089 -2.518333 -7.983343  0.033347
           88.929623 -2.536880 -8.043242  0.031720
           89.029368 -2.550404 -8.068869  0.017215
           89.129209 -2.553368 -8.113324  0.026691
           89.229296 -2.588274 -8.140859  0.045297
           89.329372 -2.606723 -8.195100  0.027385
           89.429579 -2.628009 -8.232953  0.032635
           89.529403 -2.651304 -8.267488  0.029989
           89.629070 -2.662368 -8.330297  0.051557
           89.729123 -2.670453 -8.362248  0.022342
           89.829126 -2.675573 -8.412677  0.018121
           89.929288 -2.688254 -8.451468  0.019742
           90.034399 -2.697060 -8.513686  0.028002
           90.129440 -2.698650 -8.538764  0.022375
           90.229343 -2.703065 -8.590513  0.019073
           90.329982 -2.709373 -8.643401  0.028795
           90.429375 -2.708542 -8.677836  0.012093
           90.529426 -2.703254 -8.690159  0.001889
           90.629161 -2.710260 -8.726084  0.002095
           90.729068 -2.744650 -8.761911 -0.001074
           90.829044 -2.758511 -8.805772  0.004773
           90.929114 -2.767154 -8.859368 -0.011267
           91.029473 -2.789227 -8.908593 -0.015643
           91.129019 -2.796720 -8.944056 -0.037881
           91.229120 -2.805383 -8.992881 -0.005396
           91.329017 -2.824677 -9.037683 -0.015442
           91.428871 -2.821939 -9.094068 -0.019405
           91.528935 -2.840523 -9.136298 -0.012579
           91.628917 -2.868633 -9.177718 -0.001394
           91.729061 -2.889237 -9.231281 -0.003837
           91.829245 -2.912888 -9.286663 -0.012866
